provider_id,provider_name,provider_type,address,state
1,Provider_1,Physician,1 Main St,NY
2,Provider_2,Hospital,2 Main St,NY
3,Provider_3,Physician,3 Main St,NY
4,Provider_4,Physician,4 Main St,FL
5,Provider_5,Hospital,5 Main St,FL
6,Provider_6,Hospital,6 Main St,FL
7,Provider_7,Physician,7 Main St,CA
8,Provider_8,Clinic,8 Main St,NY
9,Provider_9,Physician,9 Main St,FL
10,Provider_10,Physician,10 Main St,FL
11,Provider_11,Physician,11 Main St,CA
12,Provider_12,Physician,12 Main St,FL
13,Provider_13,Hospital,13 Main St,CA
14,Provider_14,Physician,14 Main St,TX
15,Provider_15,Clinic,15 Main St,FL
16,Provider_16,Hospital,16 Main St,TX
17,Provider_17,Clinic,17 Main St,CA
18,Provider_18,Clinic,18 Main St,NY
19,Provider_19,Clinic,19 Main St,FL
20,Provider_20,Clinic,20 Main St,CA
21,Provider_21,Hospital,21 Main St,NY
22,Provider_22,Hospital,22 Main St,NY
23,Provider_23,Clinic,23 Main St,TX
24,Provider_24,Clinic,24 Main St,CA
25,Provider_25,Hospital,25 Main St,NY
26,Provider_26,Hospital,26 Main St,FL
27,Provider_27,Hospital,27 Main St,FL
28,Provider_28,Physician,28 Main St,TX
29,Provider_29,Physician,29 Main St,NY
30,Provider_30,Physician,30 Main St,CA
31,Provider_31,Clinic,31 Main St,FL
32,Provider_32,Physician,32 Main St,NY
33,Provider_33,Clinic,33 Main St,NY
34,Provider_34,Clinic,34 Main St,TX
35,Provider_35,Physician,35 Main St,FL
36,Provider_36,Clinic,36 Main St,FL
37,Provider_37,Physician,37 Main St,CA
38,Provider_38,Physician,38 Main St,FL
39,Provider_39,Hospital,39 Main St,CA
40,Provider_40,Physician,40 Main St,FL
41,Provider_41,Hospital,41 Main St,TX
42,Provider_42,Physician,42 Main St,FL
43,Provider_43,Physician,43 Main St,CA
44,Provider_44,Hospital,44 Main St,CA
45,Provider_45,Hospital,45 Main St,TX
46,Provider_46,Physician,46 Main St,FL
47,Provider_47,Clinic,47 Main St,FL
48,Provider_48,Hospital,48 Main St,TX
49,Provider_49,Clinic,49 Main St,FL
50,Provider_50,Clinic,50 Main St,FL
51,Provider_51,Clinic,51 Main St,CA
52,Provider_52,Hospital,52 Main St,FL
53,Provider_53,Clinic,53 Main St,FL
54,Provider_54,Hospital,54 Main St,TX
55,Provider_55,Clinic,55 Main St,TX
56,Provider_56,Physician,56 Main St,NY
57,Provider_57,Physician,57 Main St,CA
58,Provider_58,Hospital,58 Main St,FL
59,Provider_59,Physician,59 Main St,FL
60,Provider_60,Physician,60 Main St,NY
61,Provider_61,Clinic,61 Main St,FL
62,Provider_62,Hospital,62 Main St,CA
63,Provider_63,Clinic,63 Main St,NY
64,Provider_64,Clinic,64 Main St,CA
65,Provider_65,Clinic,65 Main St,NY
66,Provider_66,Clinic,66 Main St,NY
67,Provider_67,Clinic,67 Main St,TX
68,Provider_68,Clinic,68 Main St,CA
69,Provider_69,Clinic,69 Main St,FL
70,Provider_70,Hospital,70 Main St,FL
71,Provider_71,Physician,71 Main St,CA
72,Provider_72,Clinic,72 Main St,FL
73,Provider_73,Clinic,73 Main St,FL
74,Provider_74,Clinic,74 Main St,CA
75,Provider_75,Clinic,75 Main St,NY
76,Provider_76,Clinic,76 Main St,CA
77,Provider_77,Clinic,77 Main St,NY
78,Provider_78,Physician,78 Main St,FL
79,Provider_79,Physician,79 Main St,FL
80,Provider_80,Clinic,80 Main St,FL
81,Provider_81,Physician,81 Main St,TX
82,Provider_82,Hospital,82 Main St,NY
83,Provider_83,Clinic,83 Main St,TX
84,Provider_84,Hospital,84 Main St,TX
85,Provider_85,Hospital,85 Main St,CA
86,Provider_86,Clinic,86 Main St,TX
87,Provider_87,Physician,87 Main St,CA
88,Provider_88,Hospital,88 Main St,CA
89,Provider_89,Clinic,89 Main St,TX
90,Provider_90,Hospital,90 Main St,NY
91,Provider_91,Hospital,91 Main St,NY
92,Provider_92,Hospital,92 Main St,NY
93,Provider_93,Hospital,93 Main St,NY
94,Provider_94,Physician,94 Main St,NY
95,Provider_95,Hospital,95 Main St,TX
96,Provider_96,Hospital,96 Main St,TX
97,Provider_97,Hospital,97 Main St,FL
98,Provider_98,Physician,98 Main St,NY
99,Provider_99,Hospital,99 Main St,TX
100,Provider_100,Hospital,100 Main St,FL
